iter	Logloss
0	0.6705944976
1	0.639757614
2	0.6177063499
3	0.5936356001
4	0.570539668
5	0.5492440735
6	0.5330826011
7	0.5192036382
8	0.5036691054
9	0.4965345157
10	0.4856116575
11	0.4800873902
12	0.4761242771
13	0.4654941662
14	0.4560129606
15	0.4471647428
16	0.443401646
17	0.4374623615
18	0.4306536736
19	0.4272670979
20	0.4222519234
21	0.4165132707
22	0.4116225776
23	0.4093421944
24	0.4052700202
25	0.4044008276
26	0.4000793639
27	0.3964728104
28	0.3941442473
29	0.3913406337
30	0.3886918679
31	0.3866172554
32	0.3845866059
33	0.3819476537
34	0.3798180083
35	0.378042826
36	0.3775515226
37	0.3765350285
38	0.3735221567
39	0.3732629851
40	0.3730907932
41	0.3714417892
42	0.3692196771
43	0.3685333959
44	0.3669859843
45	0.3650918484
46	0.3639395727
47	0.3630814876
48	0.3612479875
49	0.3601440687
50	0.3594061539
51	0.3589484894
52	0.3571771161
53	0.3568308933
54	0.3560929371
55	0.3547967216
56	0.3535297144
57	0.3524510328
58	0.3514419532
59	0.3506085102
60	0.3496175361
61	0.348717
62	0.3480624012
63	0.3478395888
64	0.3473968025
65	0.3466598086
66	0.345886909
67	0.345849588
68	0.3451631081
69	0.3440472738
70	0.343495147
71	0.3427077092
72	0.342174781
73	0.3410386743
74	0.3403568821
75	0.340101602
76	0.338783091
77	0.33873557
78	0.3381326632
79	0.3376594815
80	0.337073183
81	0.3368262886
82	0.336260276
83	0.3352151851
84	0.3346002818
85	0.3339783058
86	0.3339357185
87	0.3329820295
88	0.3322215477
89	0.3322180453
90	0.3321263786
91	0.3312792044
92	0.3307874919
93	0.3303798979
94	0.3293037448
95	0.3290895654
96	0.3286618496
97	0.3286469111
98	0.3279497259
99	0.3273524955
100	0.3269926338
101	0.3266717344
102	0.3264687495
103	0.3261317266
104	0.3256242067
105	0.3256050852
106	0.3249324309
107	0.3243721984
108	0.3236400908
109	0.3232145356
110	0.322660392
111	0.3226204515
112	0.3220531508
113	0.3216389982
114	0.3212074957
115	0.3205678356
116	0.3202812061
117	0.3201412222
118	0.3197647808
119	0.3193709625
120	0.3189426504
121	0.3183259273
122	0.3177301842
123	0.3172516326
124	0.3172264175
125	0.3169428751
126	0.3164397986
127	0.3161710754
128	0.3157094776
129	0.3152563728
130	0.3148024055
131	0.314467388
132	0.313913935
133	0.3136747889
134	0.3129718023
135	0.3125868491
136	0.3121396181
137	0.3117895659
138	0.3115099068
139	0.3112915162
140	0.3109723334
141	0.3107845511
142	0.3103847876
143	0.3099166823
144	0.3095319597
145	0.3092178127
146	0.308758492
147	0.3083385357
148	0.3079734003
149	0.3076975546
150	0.3074181083
151	0.3067466622
152	0.3063768273
153	0.3059950199
154	0.3058308734
155	0.3053317038
156	0.3048627486
157	0.3045414464
158	0.3042824696
159	0.3039564367
160	0.303424672
161	0.3029874948
162	0.3026904579
163	0.3023130466
164	0.3019629217
165	0.3015833276
166	0.3011379475
167	0.3004613516
168	0.3001712238
169	0.299913417
170	0.2997077006
171	0.2995386767
172	0.2993879376
173	0.2992172016
174	0.2984607415
175	0.2979775234
176	0.29776079
177	0.2974560248
178	0.2972628907
179	0.2971743943
180	0.2967228511
181	0.2960400673
182	0.2958677473
183	0.2957109323
184	0.2955305212
185	0.2954184386
186	0.2952485828
187	0.2947179305
188	0.2944471563
189	0.2939136846
190	0.2935913952
191	0.2932224441
192	0.293104941
193	0.2930004824
194	0.2923513321
195	0.2923014194
196	0.2921311946
197	0.2920067274
198	0.2919007931
199	0.2918086676
200	0.2914050104
201	0.2912778689
202	0.2907443565
203	0.2905601108
204	0.2902279302
205	0.2900489756
206	0.2898121402
207	0.2893764843
208	0.2892670577
209	0.2891174608
210	0.2888997287
211	0.2887728122
212	0.288395044
213	0.2880791316
214	0.2876910035
215	0.2875961626
216	0.2871347133
217	0.2867975462
218	0.2866385804
219	0.2864651099
220	0.2862674179
221	0.2860352635
222	0.2856164598
223	0.2852484821
224	0.2848788983
225	0.2847883136
226	0.2846899446
227	0.284293826
228	0.283956562
229	0.2838344197
230	0.2837232851
231	0.2836181123
232	0.2835176964
233	0.2834317575
234	0.2833747944
235	0.2831009667
236	0.2826785603
237	0.2823726478
238	0.282253106
239	0.2820199104
240	0.2819362418
241	0.2816591292
242	0.2815773992
243	0.2814000712
244	0.2811770015
245	0.2808296576
246	0.2805475209
247	0.2804096486
248	0.2801394393
249	0.2800146291
250	0.2799415652
251	0.2795116797
252	0.2792619457
253	0.2791550472
254	0.2788774284
255	0.2788094024
256	0.2787102533
257	0.2785760876
258	0.278325907
259	0.2782349031
260	0.2781707273
261	0.2780105746
262	0.277754621
263	0.2775214819
264	0.2774479662
265	0.2770831204
266	0.2768954547
267	0.2766508062
268	0.2764965129
269	0.2763221316
270	0.2761038613
271	0.2759195679
272	0.2757185835
273	0.2753629562
274	0.2751290584
275	0.2750653715
276	0.2747610187
277	0.2745787948
278	0.274478439
279	0.2744184855
280	0.274284754
281	0.274179956
282	0.273797421
283	0.2735837532
284	0.2734018229
285	0.2731153054
286	0.2730456107
287	0.2727794315
288	0.2726622318
289	0.2725277856
290	0.2724976578
291	0.2724345727
292	0.2722643609
293	0.2721272525
294	0.2719774275
295	0.2718795486
296	0.2717909455
297	0.2717201949
298	0.2714742516
299	0.2711626438
300	0.2711125791
301	0.2710699969
302	0.2709919848
303	0.2707665375
304	0.270622601
305	0.2705161656
306	0.2704738412
307	0.2703401596
308	0.2702018364
309	0.2699697243
310	0.2698528314
311	0.2695725717
312	0.2695448709
313	0.2694702389
314	0.2693635077
315	0.2692453866
316	0.2691530811
317	0.2689442134
318	0.2687932918
319	0.2686892185
320	0.268625032
321	0.2683660162
322	0.2683118712
323	0.2681893004
324	0.268066193
325	0.2679968058
326	0.2679315562
327	0.2678918111
328	0.267761282
329	0.267723116
330	0.2675956774
331	0.267547721
332	0.2674885364
333	0.267420388
334	0.267257047
335	0.2671552933
336	0.2669955368
337	0.2669328717
338	0.2668542059
339	0.266707372
340	0.2665731064
341	0.2665119756
342	0.2663551447
343	0.2661657227
344	0.2659266359
345	0.2657622433
346	0.2657112371
347	0.265549148
348	0.2653475152
349	0.2651763054
350	0.2651414159
351	0.2650993511
352	0.2650418916
353	0.2648808303
354	0.2647674971
355	0.2646916816
356	0.2646525185
357	0.2646134365
358	0.2645342661
359	0.2643187888
360	0.2642884531
361	0.2641660321
362	0.2641303332
363	0.2640732929
364	0.2640346123
365	0.2640160055
366	0.2639830691
367	0.263881201
368	0.263857055
369	0.2637230324
370	0.2636889002
371	0.2636461991
372	0.2635161969
373	0.2634716433
374	0.2632755674
375	0.2631673183
376	0.2631198114
377	0.2630898739
378	0.2629039949
379	0.2628300381
380	0.2626608952
381	0.2625435856
382	0.2623649069
383	0.2622723589
384	0.2620520257
385	0.2619926753
386	0.2619565924
387	0.2618184352
388	0.2616605362
389	0.2615858563
390	0.2615575791
391	0.2615328837
392	0.2615048249
393	0.2613755447
394	0.2612297119
395	0.2611627221
396	0.2611126085
397	0.2610716989
398	0.2609681412
399	0.2608681349
400	0.2607714027
401	0.2606526135
402	0.2605613225
403	0.2605044987
404	0.2604412355
405	0.2604176398
406	0.2603091439
407	0.2602261849
408	0.2601274302
409	0.2599990089
410	0.2599223632
411	0.2598841682
412	0.2598663612
413	0.2598431372
414	0.2596869159
415	0.2596638714
416	0.259566675
417	0.2595160918
418	0.259400779
419	0.2592625512
420	0.2591749401
421	0.2591328519
422	0.259077739
423	0.259027293
424	0.2589920144
425	0.2589479297
426	0.258823292
427	0.2587977647
428	0.2587678964
429	0.2586753663
430	0.2585910757
431	0.2585663961
432	0.2584670193
433	0.2584446196
434	0.2583729195
435	0.2583062009
436	0.2582790259
437	0.2581916583
438	0.2581536426
439	0.2581066558
440	0.2580859586
441	0.2580575575
442	0.2580258518
443	0.2579134719
444	0.2578500106
445	0.2578209293
446	0.2577806687
447	0.2577590836
448	0.2576751102
449	0.2576480267
450	0.2575542728
451	0.2574496666
452	0.2573291792
453	0.2572765649
454	0.2572253621
455	0.2571428528
456	0.2571146902
457	0.2570358399
458	0.2569611685
459	0.2569353157
460	0.2568917194
461	0.2568222014
462	0.2567799141
463	0.2567623056
464	0.2567250145
465	0.2566899074
466	0.256611496
467	0.2565546396
468	0.256497136
469	0.2563918329
470	0.2563693842
471	0.2563542351
472	0.2563346378
473	0.2562659544
474	0.2562392613
475	0.2561691236
476	0.256086998
477	0.2560620167
478	0.2560434387
479	0.2560104402
480	0.2559178802
481	0.2558786108
482	0.2558118131
483	0.2557495014
484	0.255700027
485	0.2556106932
486	0.25559138
487	0.2555258092
488	0.2554986763
489	0.2554807722
490	0.2554585811
491	0.2554380968
492	0.2554224298
493	0.2553270511
494	0.2552411675
495	0.2551922803
496	0.2551252048
497	0.2550554185
498	0.2550359413
499	0.2550203372
500	0.2549506872
501	0.2548658332
502	0.254798493
503	0.2547049026
504	0.2546411792
505	0.2545846444
506	0.2545505511
507	0.2545327112
508	0.2544486205
509	0.2544174991
510	0.2543289489
511	0.2542777117
512	0.2542614476
513	0.2542401216
514	0.2542227594
515	0.2541816763
516	0.2541364201
517	0.2541231822
518	0.2541050142
519	0.2540550901
520	0.2540004595
521	0.2539430692
522	0.2538588899
523	0.2538317996
524	0.2538156754
525	0.2537981088
526	0.2537414269
527	0.2536246443
528	0.2535768367
529	0.2535329442
530	0.2534913819
531	0.253445194
532	0.2533924857
533	0.2533780841
534	0.2533621231
535	0.2533483858
536	0.2533310281
537	0.2532746914
538	0.2532403458
539	0.2531647069
540	0.2531367845
541	0.2531060202
542	0.2530350984
543	0.2530210376
544	0.2530041594
545	0.2529909259
546	0.2529174421
547	0.2528940871
548	0.2528493872
549	0.2528007374
550	0.2527921171
551	0.2527429183
552	0.2527016885
553	0.2526822677
554	0.2526111263
555	0.2525607316
